"AGE","GENDER","MARITAL","INCOME","CHILDREN","HISTORY","CATALOGS","AMOUNT"
"Old","Female","Single",47500,0,"High",6,755
"Middle","Male","Single",63600,0,"High",6,1318
"Young","Female","Single",13500,0,"Low",18,296
"Middle","Male","Married",85600,1,"High",18,2436
"Middle","Female","Single",68400,0,"High",12,1304
"Young","Male","Married",30400,0,"Low",6,495
"Middle","Female","Single",48100,0,"Medium",12,782
"Middle","Male","Single",68400,0,"High",18,1155
"Middle","Female","Married",51900,3,"Low",6,158
"Old","Male","Married",80700,0,"None",18,3034
"Young","Male","Married",43700,1,"None",12,927
"Middle","Male","Married",111800,3,"High",18,2065
"Middle","Female","Married",44100,1,"Medium",24,704
"Middle","Male","Married",111400,0,"High",12,2136
"Old","Female","Married",110000,0,"High",24,5564
"Middle","Female","Married",83100,1,"None",12,2766
"Old","Female","Married",82800,0,"High",24,3010
"Middle","Male","Married",90100,0,"High",18,1956
"Middle","Male","Single",38600,1,"Low",18,542
"Old","Female","Single",14000,0,"Low",12,410
"Young","Female","Single",14300,2,"Low",6,194
"Young","Male","Married",49800,0,"Medium",12,827
"Old","Female","Married",60200,0,"High",18,2328
"Young","Male","Married",43500,1,"Medium",12,808
"Young","Female","Married",41700,1,"None",6,521
"Middle","Female","Married",92300,3,"Low",18,655
"Middle","Male","Single",62800,3,"None",6,707
"Middle","Female","Married",72900,0,"High",18,2075
"Middle","Female","Married",66900,2,"Medium",12,769
"Young","Male","Single",21700,1,"None",18,774
"Old","Female","Married",39700,0,"Medium",12,573
"Middle","Male","Married",72200,1,"High",12,2082
"Middle","Female","Married",87700,3,"None",24,2446
"Middle","Male","Married",104100,0,"High",24,2636
"Middle","Male","Single",67700,0,"High",12,2226
"Middle","Female","Single",27000,2,"Low",6,183
"Middle","Female","Single",64100,2,"High",24,1595
"Middle","Male","Single",47000,1,"Medium",12,584
"Old","Female","Married",41600,0,"None",18,982
"Old","Female","Single",20100,0,"Low",24,576
"Middle","Male","Single",64000,3,"Low",12,410
"Middle","Female","Married",96800,3,"None",24,3082
"Middle","Male","Married",76200,1,"None",24,2437
"Old","Female","Married",81500,0,"High",18,3655
"Middle","Female","Single",49600,1,"Medium",12,844
"Old","Female","Married",111500,0,"High",18,2510
