"AGE","CLITIME","INCOME","RESIDTIME","REGION_North","REGION_South","REGION_West","CABLETV_Yes","AUTODEBT_Yes","DEBTINC","CHURN"
51,26,5320,7.3,1,0,0,1,0,0.102067669172932,"No"
36,16,5620,4.5,1,0,0,1,0,0.0857651245551601,"No"
35,15,4860,4.8,1,0,0,0,0,0.12201646090535,"No"
40,22,6590,6.2,0,0,0,1,0,0.179666160849772,"No"
52,30,6370,2.2,1,0,0,0,0,0.0995290423861852,"No"
38,16,6120,5.6,0,0,1,1,0,0.0238562091503268,"No"
27,18,5600,4.8,0,0,1,0,1,0.227321428571429,"No"
45,29,10080,4.1,1,0,0,1,0,0.0711309523809524,"No"
35,12,4720,6.9,1,0,0,0,0,0.0944915254237288,"No"
30,21,5840,7.2,1,0,0,1,1,0.0315068493150685,"No"
44,34,13550,4.9,1,0,0,1,1,0.100885608856089,"No"
30,23,5750,8.1,0,1,0,0,0,0.148869565217391,"No"
39,20,6870,6.1,0,0,1,0,1,0.0861717612809316,"No"
39,21,6880,2.8,1,0,0,0,0,0.0861918604651163,"No"
45,18,7160,8,1,0,0,1,1,0.039804469273743,"No"
29,14,4980,5.9,1,0,0,0,1,0.0624497991967871,"No"
40,25,8800,0.9,1,0,0,0,1,0.145454545454545,"No"
31,16,5040,2.3,0,0,0,1,0,0.102579365079365,"No"
33,25,6440,7.3,1,0,0,1,1,0.133695652173913,"No"
33,24,6390,4.3,0,0,0,1,1,0.0323943661971831,"No"
39,29,10800,4.6,1,0,0,0,0,0.0635185185185185,"No"
29,13,4230,4.8,0,1,0,1,0,0.0250591016548463,"No"
49,27,7510,6.6,1,0,0,0,1,0.0366178428761651,"No"
46,28,9420,5.6,0,0,0,0,1,0.0892781316348195,"No"
44,23,6400,6.2,0,1,0,1,0,0.0209375,"No"
54,22,6020,6.5,0,0,1,1,0,0.0343853820598007,"No"
31,23,6050,4.9,1,0,0,1,1,0.0241322314049587,"No"
26,13,6060,5,1,0,0,1,0,0.117986798679868,"No"
54,16,5710,3.8,0,0,1,0,1,0.0211908931698774,"No"
47,40,18770,5.6,0,1,0,1,0,0.119286094832179,"No"
49,39,17330,4.1,0,0,0,1,0,0.0243508366993653,"No"
44,29,9940,4.5,1,0,0,1,1,0.069215291750503,"No"
32,15,5270,5.7,1,0,0,1,0,0.110815939278937,"No"
51,12,4850,4.6,0,0,1,1,1,0.014639175257732,"No"
29,14,6150,2,0,0,0,1,0,0.16,"No"
34,13,6640,5.9,0,0,1,0,1,0.0344879518072289,"No"
45,23,6950,7,1,0,0,1,0,0.111223021582734,"No"
29,12,4330,2,1,0,0,1,0,0.169284064665127,"No"
36,15,4990,7,0,0,0,1,1,0.24248496993988,"No"
32,15,5410,5.8,0,0,1,1,0,0.0829944547134935,"No"
38,31,9880,7.9,0,0,0,1,1,0.104554655870445,"No"
40,23,7000,4,1,0,0,1,1,0.0494285714285714,"No"
38,12,4690,7.6,0,0,1,0,1,0.00852878464818763,"No"
44,25,5910,6.8,0,0,0,0,0,0.0598984771573604,"No"
47,12,5440,5.2,1,0,0,0,0,0.123713235294118,"No"
41,17,5970,6,1,0,0,0,1,0.0636515912897822,"No"
47,24,5720,3.2,0,0,0,0,0,0.0874125874125874,"No"
37,28,7520,7.2,0,0,1,0,0,0.18311170212766,"No"
37,15,5800,5.6,0,1,0,1,0,0.0975862068965517,"No"
32,25,8070,5.4,0,0,0,1,1,0.080545229244114,"No"
35,23,6280,3.4,0,0,0,1,0,0.120700636942675,"No"
42,16,6740,7.5,0,0,0,0,0,0.138724035608309,"No"
33,13,4890,4.5,1,0,0,0,0,0.0106339468302658,"No"
46,29,10480,1.9,1,0,0,1,1,0.0689885496183206,"No"
40,27,6410,3.2,0,0,0,1,0,0.0948517940717629,"No"
56,22,10250,4.3,1,0,0,1,0,0.118536585365854,"No"
35,14,15870,5.1,1,0,0,1,0,0.125078764965343,"No"
53,26,6820,4.1,1,0,0,0,0,0.129325513196481,"No"
28,18,6030,6.9,0,0,0,1,0,0.109950248756219,"No"
37,21,6400,0.7,1,0,0,0,1,0.19203125,"No"
36,19,5360,5.6,1,0,0,0,1,0.0766791044776119,"No"
35,20,5020,1.9,0,0,0,1,0,0.0675298804780877,"No"
29,16,6330,6.8,1,0,0,0,0,0.137282780410742,"No"
34,24,6870,3.8,0,0,1,1,0,0.0774381368267831,"No"
39,19,5810,5.4,0,1,0,0,1,0.213080895008606,"No"
39,25,6120,1.9,0,0,0,1,1,0.0746732026143791,"No"
44,13,5470,5.6,0,0,1,1,1,0.144972577696526,"No"
28,21,5300,2.4,0,0,1,1,0,0.07,"No"
40,21,6010,5.4,0,0,0,1,0,0.0565723793677205,"No"
41,31,9270,2.9,0,0,1,0,0,0.0961165048543689,"No"
51,40,11880,4.6,0,0,0,1,0,0.155387205387205,"No"
35,20,5420,4.1,0,0,0,1,1,0.175645756457565,"No"
46,18,6400,8.5,0,1,0,0,1,0.0365625,"No"
47,14,6400,6.5,0,0,1,0,0,0.07390625,"No"
26,19,6110,7.7,0,0,0,1,1,0.0502454991816694,"No"
30,20,6240,5.6,0,1,0,1,0,0.0559294871794872,"No"
35,15,5680,4.6,0,0,1,1,0,0.178697183098592,"No"
27,14,5550,0.5,0,1,0,1,0,0.157297297297297,"No"
27,14,5600,3.8,0,0,1,1,1,0.100892857142857,"No"
41,25,5780,4.8,0,0,0,1,1,0.0745674740484429,"No"
36,29,5810,4.6,1,0,0,0,0,0.166953528399312,"No"
32,25,8170,3.5,1,0,0,0,0,0.0635250917992656,"No"
27,12,5790,7,1,0,0,1,0,0.0307426597582038,"No"
33,16,5030,2.2,0,0,0,1,1,0.0658051689860835,"No"
55,31,9970,4.2,0,0,1,1,0,0.0625877632898696,"No"
41,14,5180,8.1,0,0,0,1,1,0.117760617760618,"No"
41,23,9840,3.4,0,0,0,1,0,0.0133130081300813,"No"
42,30,7860,7.1,1,0,0,1,1,0.236513994910941,"No"
32,13,5350,3.1,0,0,0,0,0,0.126355140186916,"No"
46,13,6960,5.6,1,0,0,1,1,0.0359195402298851,"No"
42,19,5160,6.8,0,0,1,1,0,0.0767441860465116,"No"
41,16,4950,5.8,0,0,1,0,0,0.0723232323232323,"No"
40,15,5220,8.7,1,0,0,1,0,0.039272030651341,"No"
27,14,5300,6.4,1,0,0,1,1,0.170943396226415,"No"
39,25,8710,7.2,0,0,1,0,0,0.0690011481056257,"No"
44,29,11820,5,0,0,0,1,1,0.0804568527918782,"No"
44,23,10110,7.4,1,0,0,1,1,0.0607319485657765,"No"
42,29,8160,5.2,0,0,0,1,1,0.0699754901960784,"No"
48,18,8090,2.9,0,0,0,1,0,0.16168108776267,"No"
49,19,6120,8.1,0,0,0,1,1,0.0316993464052288,"No"
30,23,6390,4.4,0,0,1,1,0,0.0317683881064163,"No"
38,22,5000,4.2,0,0,0,1,0,0.1302,"No"
44,28,7080,5.8,1,0,0,1,0,0.187005649717514,"No"
37,12,5990,6.7,0,0,1,1,0,0.0799666110183639,"No"
43,18,5600,5.4,0,0,0,0,0,0.12,"No"
38,21,6630,5.9,1,0,0,1,0,0.17315233785822,"No"
